sampleID	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
U1388	0.0044	0.0109	0.2834	0.0771	0.0483	2e-04	0	0.5757
U1304	0.0058	0.014	0.2281	0.0427	0.0792	3e-04	0	0.63
U0550	0.0023	0.0104	0.1528	0.0473	0.0723	3e-04	0	0.7146
U0106	0.0058	0.0078	0.1877	0.0593	0.0547	1e-04	0	0.6845
U1055	0.0042	0.0115	0.1911	0.0526	0.0449	4e-04	0	0.6952
U0635	0.0027	0.0237	0.2644	0.0551	0.05	2e-04	0	0.6039
U0976	0.0037	0.0165	0.1998	0.0548	0.0821	6e-04	0	0.6425
U0439	9e-04	0.0101	0.2605	0.0554	0.0627	1e-04	0	0.6104
U0188	0.0083	0.0143	0.2468	0.0736	0.0286	7e-04	0	0.6277
U0912	0.0032	0.014	0.2784	0.0589	0.088	3e-04	0	0.5573
U0469	0.0032	0.0161	0.2	0.0639	0.0445	2e-04	0	0.672
U0461	1e-04	0.0354	0.3074	0.0431	0.1929	2e-04	0	0.421
U0261	0.0026	0.0095	0.2362	0.0494	0.0329	2e-04	0	0.6691
U0459	0.0016	0.045	0.2413	0.0688	0.0802	3e-04	0	0.5629
U1057	0.0039	0.0082	0.238	0.0547	0.0887	3e-04	0	0.6063
U0312	0	0.0197	0.1987	0.0567	0.0882	0	0	0.6367
U0316	6e-04	0.0128	0.2668	0.0465	0.0988	3e-04	0	0.5742
U0648	0.0052	0.0176	0.2372	0.0639	0.1629	1e-04	0	0.513
U0267	0.0064	0.0309	0.2061	0.0572	0.0886	3e-04	0	0.6105
U0589	0.0044	0.0167	0.2228	0.0504	0.0473	3e-04	0	0.6581
U0264	0.0089	0.0153	0.3109	0.0803	0.0621	6e-04	0	0.522
U1240	0.0018	0.0082	0.1166	0.0318	0.0733	3e-04	0	0.7679
U0655	0.0076	0.0049	0.249	0.0621	0.0673	1e-04	0	0.6091
U0598	0.0031	0.0109	0.2184	0.0482	0.0912	7e-04	0	0.6274
U0454	0.0037	0.0082	0.2307	0.0554	0.0666	4e-04	0	0.635
U1032	0.0034	0.0361	0.196	0.0491	0.0834	2e-04	0	0.632
U0421	0.0033	0.0173	0.2418	0.0577	0.1196	3e-04	0	0.5599
U1300	0.0019	0.0181	0.2426	0.054	0.0811	4e-04	0	0.6019
U1289	0.0053	0.0128	0.271	0.0575	0.0656	4e-04	0	0.5874
U1338	0.0068	0.0126	0.2641	0.0632	0.0545	3e-04	0	0.5985
U1256	0.0062	0.021	0.2266	0.0621	0.0387	3e-04	0	0.6452
U0278	0.0063	0.0133	0.2443	0.0655	0.0576	5e-04	0	0.6126
U0473	0.0059	0.0117	0.2868	0.0488	0.0756	0.0011	0	0.5702
U0437	0.0034	0.0038	0.1763	0.0518	0.0584	4e-04	0	0.7059
U0307	0.0062	0.0084	0.2632	0.0674	0.0597	3e-04	0	0.5947
U1005	0.0077	0.0124	0.3027	0.0839	0.0796	0.0011	0	0.5125
U0653	0.0038	0.0113	0.2906	0.0605	0.07	2e-04	0	0.5637
U0918	0.0078	0.0325	0.184	0.0419	0.0965	5e-04	0	0.6368
U0928	0.0034	0.0137	0.2422	0.0638	0.0439	3e-04	0	0.6327
U1307	0.0071	0.0279	0.3513	0.0678	0.0577	2e-04	0	0.488
U1271	0.0086	0.0122	0.2967	0.0764	0.0651	3e-04	0	0.5407
U0394	0.0037	0.0133	0.3252	0.0526	0.0581	1e-04	0	0.5469
U0903	0.0106	0.0042	0.403	0.0941	0.06	2e-04	0	0.4277
U1182	0.0039	0.0174	0.3342	0.0537	0.0859	1e-04	0	0.5048
U0122	0.0071	0.0191	0.3075	0.0838	0.0465	2e-04	0	0.5358
U0666	0.0064	0.0106	0.3376	0.0673	0.065	7e-04	0	0.5124
U2114	0.0014	0.0155	0.1963	0.044	0.0506	3e-04	0	0.6919
