sampleID	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
U0541	0.0041	0.0163	0.144	0.0479	0.0332	0.0019	0	0.7527
U0036	0.0074	0.0365	0.1995	0.0638	0.1367	6e-04	0	0.5555
U0046	0.0084	0.0389	0.3102	0.062	0.0566	0.0025	0	0.5215
U1043	0.0061	0.0253	0.2027	0.0577	0.0641	7e-04	0	0.6434
U0087	0.005	0.0219	0.2745	0.0605	0.0683	6e-04	0	0.5693
U0904	0.008	0.0168	0.2538	0.0612	0.0446	4e-04	0	0.6152
U1435	0.0112	0.0126	0.2813	0.0836	0.0896	0.0018	0	0.5199
U0559	0.0066	0.0248	0.2188	0.0515	0.062	0.001	0	0.6353
U1052	0.0065	0.0227	0.264	0.0605	0.0551	0.0015	0	0.5897
U1345	0.0077	0.0208	0.2396	0.0568	0.0559	5e-04	0	0.6187
U1019	0.006	0.0176	0.1814	0.0412	0.0545	5e-04	0	0.6988
U1243	0.0072	0.0121	0.2576	0.0738	0.0588	0.0022	0	0.5883
U1270	0.0065	0.0199	0.2429	0.0594	0.0527	7e-04	0	0.6178
U0268	0.0067	0.0081	0.2443	0.0671	0.0732	8e-04	0	0.5998
U1332	0.0046	0.0174	0.1612	0.0454	0.0777	0.0011	0	0.6927
U0073	0.0068	0.0265	0.1943	0.0599	0.1119	8e-04	0	0.5999
U0549	0.0083	0.0176	0.3263	0.0641	0.0426	0.0011	0	0.5401
U1427	0.0096	0.0106	0.2821	0.0747	0.0444	9e-04	0	0.5777
U0915	0.0077	0.0148	0.2568	0.0686	0.0588	8e-04	0	0.5925
U1309	0.0064	0.0135	0.2662	0.0733	0.0406	4e-04	0	0.5997
U1018	0.0056	0.0104	0.2269	0.0571	0.0619	2e-04	0	0.6378
U1317	0.0067	0.0481	0.2435	0.0731	0.054	4e-04	0	0.5741
U0583	0.0056	0.0089	0.2483	0.0598	0.0743	2e-04	0	0.6028
U0986	0.0064	0.0385	0.2443	0.0548	0.0677	9e-04	0	0.5874
U1305	0.0091	0.011	0.2379	0.0636	0.1014	3e-04	0	0.5767
U0654	0.0072	0.0276	0.2365	0.0455	0.0553	6e-04	0	0.6273
U1303	0.0091	0.0038	0.2275	0.0579	0.0698	4e-04	0	0.6316
U0580	0.0077	0.0214	0.1873	0.0594	0.0821	0.001	0	0.6411
U1368	0.007	0.01	0.257	0.0774	0.0568	4e-04	0	0.5913
U1336	0.0086	0.0175	0.3011	0.0785	0.0369	7e-04	0	0.5567
U0350	0.0069	0.0188	0.2784	0.0646	0.0578	0.0016	0	0.5719
U1346	0.0097	0.0036	0.2223	0.0895	0.0281	9e-04	0	0.6458
U1297	0.007	0.0035	0.2359	0.0643	0.0503	9e-04	0	0.638
U0605	0.01	0.0054	0.2988	0.0724	0.047	0.001	0	0.5654
U1288	0.0071	0.0077	0.2201	0.0569	0.0775	8e-04	0	0.6299
U1298	0.0085	0.0105	0.2926	0.0762	0.0568	0.0012	0	0.5541
U1356	0.006	0.008	0.1665	0.0476	0.0603	0.0011	0	0.7105
U0560	0.0064	0.0117	0.2144	0.0569	0.0767	0.001	0	0.6328
U0378	0.0079	0.0058	0.2931	0.0697	0.0342	8e-04	0	0.5885
U1231	0.0042	0.0139	0.2232	0.0509	0.1031	2e-04	0	0.6045
U1295	0.0086	0.0112	0.2488	0.0789	0.0474	0.001	0	0.6041
U1230	0.0084	0.0077	0.2346	0.066	0.0602	5e-04	0	0.6226
U1267	0.0082	0.0081	0.2366	0.0575	0.0745	4e-04	0	0.6147
U0057	0.0073	0.0043	0.2178	0.0581	0.0427	3e-04	0	0.6696
U0072	0.0021	0.0139	0.1547	0.0365	0.0548	8e-04	0	0.7371
U0024	0.0061	0.0167	0.3021	0.0237	0.0479	9e-04	0	0.6026
U0438	0.0082	0.0122	0.1783	0.048	0.0937	3e-04	0	0.6592
U0041	0.0108	0.0158	0.211	0.0572	0.0916	2e-04	0	0.6135
U0078	0.0098	0.0119	0.2892	0.0593	0.0566	1e-04	0	0.5731
U0475	0.0057	0.0201	0.1365	0.0443	0.0644	0.0018	0	0.7272
U2107	0.0063	0.0147	0.2306	0.0593	0.0429	3e-04	0	0.6459
U2026	5e-04	0.0682	0.1657	0.0388	0.1536	0.001	0	0.5722
U2027	0	0.0319	0.3098	0.0319	0.0765	1e-04	0	0.5497
U2066	0.0041	0.0927	0.1076	0.0214	0.089	0.0023	0	0.683
U2051	0.0023	0.029	0.1358	0.0614	0.1362	4e-04	0	0.6349
U2041	0.008	0.0153	0.195	0.0537	0.0726	0.0013	0	0.6542
