sampleID	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
U0012	0.0047	0.0028	0.1791	0.0372	0.0216	3e-04	0	0.7543
U0433	0.004	0.0235	0.1132	0.0581	0.1394	3e-04	0	0.6617
U0427	0.0034	0.0275	0.1187	0.0412	0.1165	0.0014	0	0.6913
U0709	0.0034	0.0262	0.0815	0.0391	0.0498	6e-04	0	0.7994
U0910	0.0049	0.0093	0.166	0.0502	0.0368	5e-04	0	0.7323
U0332	0.0036	0.01	0.1175	0.0394	0.0661	0.003	0	0.7604
U0400	6e-04	0.0086	0.193	0.0323	0.1341	1e-04	0	0.6314
U1277	0.0038	0.0136	0.1762	0.0563	0.057	1e-04	0	0.693
U1363	0.0055	0.0085	0.2488	0.0575	0.0854	6e-04	0	0.5937
U0670	9e-04	0.0259	0.2078	0.025	0.0821	1e-04	0	0.6583
U0696	0.0039	0.0222	0.178	0.044	0.0446	2e-04	0	0.7071
U0385	0.0052	0.0307	0.1873	0.0603	0.1127	6e-04	0	0.6032
U0600	0.0042	0.0126	0.1887	0.0568	0.0856	1e-04	0	0.6521
U0077	0.0045	0.0166	0.1386	0.0384	0.0363	4e-04	0	0.7652
U2084	6e-04	0.014	0.1217	0.0267	0.1598	1e-04	0	0.6771
U1006	0.0077	0.0144	0.1667	0.0516	0.0745	4e-04	0	0.6848
U0442	0.0015	0.0242	0.2021	0.0358	0.0679	4e-04	0	0.6682
U0476	0.008	0.0106	0.2606	0.0592	0.0513	8e-04	0	0.6095
