sampleID	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
U0380	0.0063	0.0381	0.2216	0.0444	0.0708	5e-04	0	0.6183
U0913	0.0056	0.0102	0.1872	0.0466	0.1005	0.0011	0	0.6487
U1280	0.011	0.0492	0.3158	0.0649	0.0677	0.0013	0	0.4901
U0035	0.0078	0.0571	0.2934	0.0648	0.0871	9e-04	0	0.4889
U1046	0.0033	0.0203	0.2872	0.0261	0.1014	0.0014	0	0.5603
U1020	0.0044	0.0191	0.2656	0.0465	0.1351	0.0012	0	0.5281
U1023	0.0066	0.0486	0.2707	0.0681	0.0569	9e-04	0	0.5481
U1292	0.004	0.0277	0.114	0.0419	0.0493	6e-04	0	0.7625
U1011	0.0069	0.0228	0.2549	0.0682	0.0401	6e-04	0	0.6065
U0323	0.0133	0.0346	0.3458	0.0389	0.1002	0.0068	0	0.4603
U2073	0.0073	0.0151	0.1487	0.0479	0.0543	8e-04	0	0.7258
U0207	0.0042	0.0198	0.2875	0.0351	0.0753	3e-04	0	0.5778
U0100	0.0117	0.0201	0.2891	0.0737	0.0592	0.0014	0	0.5447
U0905	0.0047	0.0155	0.2492	0.0592	0.0732	0.0021	0	0.5962
U0932	0.0028	0.0276	0.2214	0.0432	0.0859	6e-04	0	0.6185
U2105	0.1327	0.0488	0.563	0	0.0842	0.0036	0	0.1677
U1425	0.0073	0.0214	0.2532	0.0662	0.0364	8e-04	0	0.6147
U0290	0.0019	0.031	0.1753	0.0306	0.0949	0.0015	0	0.6648
U1037	0.003	0.008	0.1897	0.0382	0.0488	7e-04	0	0.7117
U1465	2e-04	0.0805	0.172	0.0277	0.2113	6e-04	0	0.5077
U1412	0.01	0.0428	0.1555	0.0397	0.0802	5e-04	0	0.6713
U0977	0.1023	0.0151	0.3989	4e-04	0.0748	5e-04	0	0.4079
U0392	0.0136	0.0328	0.2734	0.0517	0.1134	5e-04	0	0.5146
U1026	0.0023	0.0355	0.2167	0.0322	0.0676	0.0012	0	0.6444
U1276	0.0065	0.0178	0.2602	0.0696	0.0676	0.0018	0	0.5765
U0334	0.0024	0.0436	0.1806	0.0366	0.085	6e-04	0	0.6512
U1308	0.013	0.0375	0.3287	0.0345	0.0826	6e-04	0	0.503
U0607	0.008	0.0206	0.2936	0.0473	0.07	0.0026	0	0.558
U0326	3e-04	0.0191	0.2766	0.0171	0.0787	0.002	0	0.6062
U0330	0.0043	0.0156	0.2661	0.0492	0.0592	0.0016	0	0.6039
U0570	0.0177	0.0178	0.235	0.0493	0.082	0.0023	0	0.5958
U0458	0.019	0.0606	0.4296	0.0256	0.0733	0.001	0	0.3907
U0083	0.01	0.0335	0.1371	0.0225	0.0775	0.0027	0	0.7168
U1291	0.0087	0.0693	0.265	0.0651	0.1271	0.0011	0	0.4637
U0562	0.0033	0.0302	0.3013	0.0403	0.0755	7e-04	0	0.5488
U1301	0.0063	0.0144	0.2799	0.0482	0.0741	0.0012	0	0.5758
U2055	0.003	0.1217	0.3838	0.0214	0.0996	8e-04	0	0.3698
U1314	0.0069	0.0763	0.2381	0.0603	0.0543	6e-04	0	0.5635
U2087	0.0067	0.0197	0.16	0.0459	0.0883	8e-04	0	0.6786
U1341	0.0073	0.0459	0.2471	0.041	0.1461	0.0026	0	0.51
U1343	0.0043	0.0773	0.1292	0.0439	0.0865	0.0014	0	0.6574
U1337	0.0048	0.0314	0.2615	0.003	0.0607	0.0035	0	0.635
U0606	0.0044	0.0184	0.2819	0.0501	0.0536	7e-04	0	0.5909
U1293	0.0034	0.2031	0.2969	0.039	0.0772	0.0019	0	0.3786
U1265	0.0084	0.0295	0.2844	0.0697	0.0461	8e-04	0	0.5611
U1264	0.0053	0.0409	0.1459	0.0514	0.0869	0.0023	0	0.6673
U0577	0.005	0.0244	0.3095	0.038	0.0652	9e-04	0	0.557
U1311	0.0079	0.0511	0.2052	0.0361	0.0765	9e-04	0	0.6224
U0611	0.0043	0.016	0.1329	0.0299	0.0853	0.0011	0	0.7306
U2112	0.028	0.0334	0.447	0	0.1204	0.0019	0	0.3692
U1272	0.0216	0.0287	0.3206	0.0342	0.0656	0.0013	0	0.5279
U0010	0.2936	0.0978	0.468	0.0017	0.1267	0.0031	0	0.0091
U1263	0.0042	0.0564	0.1547	0.0317	0.1273	0.0011	0	0.6245
U1249	0.0093	0.044	0.3066	0.059	0.0476	5e-04	0	0.533
U2096	0.004	0.1829	0.1247	0.0458	0.0929	0.0048	0	0.5449
U0613	0.0144	0.0298	0.3255	0	0.0732	0.0035	0	0.5536
U2109	0.018	0.0377	0.2281	0.0513	0.1183	0.003	0	0.5435
U0114	0.0121	0.0967	0.3501	0.0264	0.0935	0.002	0	0.4191
U0214	0.0041	0.0269	0.2085	0.0319	0.0647	0.0013	0	0.6627
U0450	9e-04	0.0214	0.1427	0.0374	0.0815	7e-04	0	0.7153
U0002	0.0067	0.0286	0.3767	0.0199	0.0679	5e-04	0	0.4996
U0115	0.0042	0.0542	0.2215	0.0407	0.0661	0.001	0	0.6124
U0233	0.0031	0.153	0.2048	0.0492	0.2378	6e-04	0	0.3514
U0566	0.004	0.0089	0.1108	0.009	0.0633	0.0041	0	0.7999
U0384	0.0511	0.0748	0.2408	0.0346	0.1685	0.0024	0	0.4278
U1206	0.0057	0.0483	0.2618	0.0382	0.1168	0.001	0	0.5282
U2050	0.0447	0.2315	0.3934	0	0.328	0.0023	0	0
U0447	0.0102	0.0307	0.2177	0.0277	0.0865	0.0011	0	0.6261
U2122	0.0016	0.0493	0.2425	0.031	0.0981	0.0014	0	0.5761
U1033	0.0055	0.0507	0.2218	0.0105	0.1113	0.0034	0	0.5969
U0039	0.0071	0.0309	0.2278	0.0526	0.0762	0.0017	0	0.6037
U1174	0.0054	0.0264	0.2095	0.0573	0.0768	6e-04	0	0.624
U2118	0.0115	0.0206	0.3251	0.0563	0.0747	0.0012	0	0.5105
U2106	0.0872	0.0899	0.4026	0.022	0.1128	0.0033	0	0.2823
U2103	0.0031	0.0722	0.4583	0.0118	0.0568	0.0013	0	0.3965
U2065	0.001	0.0137	0.2612	0.0552	0.0807	0	0	0.5882
U1232	0.0052	0.0124	0.1735	0.0486	0.0696	5e-04	0	0.6901
U2071	0.0021	0.0309	0.233	0.0536	0.1066	2e-04	0	0.5736
