sampleID	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
U2044	0.0063	0.0792	0.3897	0.0523	0.0961	0.0013	0	0.3753
U0590	0.0062	0.0198	0.2325	0.0784	0.0642	3e-04	0	0.5986
U0183	0.0094	0.0276	0.2421	0.0416	0.0822	0.0014	0	0.5957
U1123	0.0029	0.0102	0.1817	0.0553	0.0291	0.001	0	0.7198
U0993	0.0015	0.0265	0.147	0.0352	0.0894	5e-04	0	0.7
U0161	0.0058	0.0265	0.2492	0.0622	0.0963	4e-04	0	0.5596
U0850	0.0063	0.0083	0.2246	0.0644	0.0597	7e-04	0	0.6361
U0556	0.005	0.0182	0.0955	0.0553	0.0371	0.0021	0	0.7868
U0952	0.005	0.0787	0.1712	0.0491	0.1797	0.005	0	0.5113
U1242	0.0081	0.037	0.205	0.0369	0.1234	0.0023	0	0.5874
U2043	0.0058	0.0524	0.1915	0.0353	0.0509	0.001	0	0.6631
U0190	0.0062	0.0517	0.2303	0.0629	0.0832	0.0015	0	0.5643
U0765	0.0065	0.0652	0.2565	0.05	0.1374	2e-04	0	0.4842
U0179	8e-04	0.0371	0.2038	0.0361	0.058	4e-04	0	0.6638
U1067	0.0043	0.0258	0.2513	0.0495	0.0731	0.0015	0	0.5946
U0181	0.0064	0.0674	0.194	0.0643	0.1755	0.0014	0	0.491
U0972	0.0037	0.0161	0.1689	0.0448	0.0973	0.0014	0	0.6677
U1190	0.0118	0.0619	0.3395	0.0107	0.1351	0.0054	0	0.4356
U0573	0.0027	0.0318	0.2501	0.0389	0.0794	0.0011	0	0.5961
U0013	0.0177	0.0469	0.5205	0	0.0623	0.0015	0	0.3511
U1349	0.011	0.0326	0.2849	0.0726	0.0732	8e-04	0	0.5249
U1196	0.0094	0.0277	0.2798	0.049	0.0695	0.0035	0	0.561
U1464	0.0047	0.0245	0.1696	0.0652	0.0819	9e-04	0	0.6532
U1462	1e-04	0.019	0.0557	0.1105	0.0823	8e-04	0	0.7316
U0855	0.0133	0.0302	0.3031	0.0609	0.0739	0.0024	0	0.5162
U0130	0.0058	0.0871	0.2734	0.0505	0.0671	0.0015	0	0.5144
U0141	0.0059	0.0209	0.1889	0.0497	0.0989	0.0016	0	0.634
U1189	0.0088	0.0236	0.2445	0.0633	0.0801	0.0015	0	0.5781
U0109	0.0015	0.0904	0.2116	0.0431	0.1592	0.0013	0	0.4929
U1212	0.011	0.0185	0.2266	0.0488	0.086	0.001	0	0.6081
U0514	0.0033	0.0462	0.1603	0.0183	0.0673	0.0024	0	0.702
U0643	0.0101	0.0278	0.3609	0.0576	0.0682	0.0012	0	0.4742
U0018	0.0133	0.0669	0.2254	0.0598	0.0848	0.0011	0	0.5488
U0092	0.0072	0.0155	0.2349	0.0802	0.0666	0.0039	0	0.5916
U1205	0.0119	0.0427	0.2829	0.049	0.0796	8e-04	0	0.5331
U1432	0.0046	0.0105	0.1921	0.0458	0.0714	3e-04	0	0.6753
U0224	0.0224	0.0816	0.2991	0.0041	0.1565	0.0022	0	0.4342
U0006	0.005	0.0156	0.2867	0.0345	0.0524	0.003	0	0.6028
U0832	0.0057	0.0145	0.2021	0.0569	0.0531	0.001	0	0.6667
U0091	0.0019	0.0309	0.2358	0.0389	0.1146	0.0012	0	0.5767
U1161	0.0062	0.0168	0.1819	0.0557	0.0836	5e-04	0	0.6553
U0129	0.0085	0.2776	0.2213	0.0464	0.1009	0.0023	0	0.3429
U1431	0.0063	0.0358	0.255	0.0351	0.0939	0.0017	0	0.5723
U0553	0.0101	0.0099	0.2454	0.074	0.0718	9e-04	0	0.5879
U1136	0.0069	0.0252	0.255	0.0714	0.0882	0.0013	0	0.5521
U1426	0.0398	0.0339	0.3386	0.013	0.0903	0.0037	0	0.4808
U0147	0.0036	0.1047	0.1837	0.0472	0.1342	8e-04	0	0.5258
U0856	0.0093	0.0104	0.2487	0.0695	0.0906	0.0018	0	0.5696
U0973	0.0083	0.0699	0.2944	0.0169	0.082	8e-04	0	0.5277
U1188	0.0057	0.0601	0.1493	0.055	0.0591	0.001	0	0.6698
U0401	0.0034	0.0266	0.2545	0.0135	0.0898	5e-04	0	0.6117
U0015	0.0065	0.0211	0.3553	0.0357	0.1286	0.0025	0	0.4503
U0754	0.0186	0.0284	0.2654	0.0558	0.0532	0.0017	0	0.5769
U1209	0.0072	0.0233	0.2204	0.0649	0.0968	0.0011	0	0.5864
U0171	0.0112	0.0159	0.2512	0.0685	0.0517	0.0012	0	0.6004
U1165	0.0062	0.0147	0.2382	0.0672	0.0682	3e-04	0	0.6051
U0080	0.0045	0.0505	0.1688	0.0342	0.0803	0.0018	0	0.6598
U0158	0.0071	0.0168	0.2094	0.0618	0.0734	0.001	0	0.6304
U1191	0	0.0426	0.1542	0	0.036	0.0123	0	0.7548
U0839	0.005	0.0292	0.2351	0.0355	0.0588	0.0011	0	0.6353
U0466	0.0053	0.0284	0.2824	0.0579	0.1102	2e-04	0	0.5155
U0659	0.0043	0.0315	0.1426	0.0431	0.07	0.0013	0	0.7073
U0054	0.0024	0.0656	0.505	0	0.0654	0.0013	0	0.3603
U0954	0.0299	0.0622	0.3324	0.0157	0.0804	0.0015	0	0.4778
